Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200 OK, Data: 06 06 2022 20:13:54 

Rota: /services, Metodo HTTP: GET, IP: ::1, Status Servidor: 200 OK, Data: 06 06 2022 20:14:27 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200 OK, Data: 06 06 2022 20:14:27 

Rota: /services, Metodo HTTP: GET, IP: ::1, Status Servidor: 200 OK, Data: 06 06 2022 20:15:19 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200 OK, Data: 06 06 2022 20:15:20 

Rota: /contact, Metodo HTTP: GET, IP: ::1, Status Servidor: 200 OK, Data: 06 06 2022 20:15:26 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200 OK, Data: 06 06 2022 20:15:27 

Rota: /services, Metodo HTTP: GET, IP: ::1, Status Servidor: 200 OK, Data: 06 06 2022 20:16:42 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200 OK, Data: 06 06 2022 20:16:42 

Rota: /services/1, Metodo HTTP: GET, IP: ::1, Status Servidor: 200 OK, Data: 06 06 2022 20:16:58 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200 OK, Data: 06 06 2022 20:16:59 

Rota: /, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 20:36:19 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 20:36:19 

Rota: /, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 20:36:20 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 20:36:20 

Rota: /services, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 20:38:15 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 20:38:15 

Rota: /, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 20:44:43 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 20:44:43 

Rota: /, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 20:53:27 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 20:53:27 

Rota: /, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 20:54:27 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 20:54:28 

Rota: /, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 21:55:23 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 21:55:23 

Rota: /login, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 21:55:25 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 21:55:25 

Rota: /users/create, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 21:55:27 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 21:56:33 

Rota: /users/create, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 21:56:35 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 21:56:36 

Rota: /login, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 21:57:09 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 21:57:09 

Rota: /users/create, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 21:57:11 

Rota: /users/create, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 21:57:19 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 21:57:20 

Rota: /login, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 21:57:22 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 21:57:22 

Rota: /users/create, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 21:57:23 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 21:57:32 

Rota: /login, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 21:57:34 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 21:57:34 

Rota: /users/create, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 21:57:35 

Rota: /users/create, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 21:58:03 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 21:58:04 

Rota: /login, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 21:58:06 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 21:58:06 

Rota: /users/create, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 21:58:07 

Rota: /users/create, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 21:58:23 

Rota: /users/create, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 21:58:40 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 21:58:40 

Rota: /users/create, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 21:58:46 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 21:58:46 

Rota: /, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 21:59:04 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 06 06 2022 21:59:05 

